paper_id,theorem,target_quantity,representation,proof_tool,shift_term,complexity_term,oracle_or_misspecification,main_assumptions,verification_level
BenDavid2010,Theorem 2,target risk,"risk + HDeltaH",triangle + VC concentration,"HDeltaH(S,T)",VC complexity,joint error lambda*,finite VC and bounded 0-1 loss,THEOREM-LEVEL
Mansour2009,Theorems 1-2,target risk,loss-class discrepancy,discrepancy triangle + Rademacher,loss discrepancy,empirical complexity,joint error/ideal hypothesis,loss class and target samples,THEOREM-LEVEL
Blanchard2011,main generalization theorem,unseen-domain risk,meta-distribution,domain-level concentration,domain sampling deviation,environment complexity,coverage/approximation,meta-distribution over domains,THEOREM-LEVEL
Blanchard2021,main theorem,worst/admissible-domain risk,marginal transfer functional,concentration and marginal shift,admissible-family deviation,source complexity,model/family misspecification,domain family and coverage,THEOREM-LEVEL
Duchi2021,Theorems 1-2,uniform robust risk,f-divergence ball,convex duality + uniform convergence,divergence radius/weights,function-class complexity,ball misspecification,finite support/regularity,THEOREM-LEVEL
Esfahani2018,Theorem 4.2,robust population risk,Wasserstein ball,transport duality + concentration,Wasserstein radius,model class complexity,ball radius/support misspecification,transport assumptions,THEOREM-LEVEL
Germain2020,main PAC-Bayes bound,target Gibbs risk,posterior + disagreement,change of measure + PAC-Bayes,domain disagreement,KL(Q||P),joint/target discrepancy,loss boundedness and target samples,THEOREM-LEVEL
Peters2016,Theorems 1-2,stable intervention risk,invariant conditional,conditional independence/identification,intervention family,finite candidate complexity,model selection/faithfulness,SCM and intervention coverage,THEOREM-LEVEL
Kamath2021,Theorems 1-3,IRM identifiability,linear invariant predictor,structural algebra and rank conditions,environment heterogeneity,parameter/model complexity,non-identifiability under weak environments,linear structural model,THEOREM-LEVEL
Krueger2021,Theorems 1-2,extrapolated risk,risk variance,algebra/concentration,environment variance,model-specific term,linear/toy misspecification,restricted toy model,THEOREM-LEVEL
Rosenfeld2021,main lower bound,minimax DG risk,linear invariant representation,constructive linear algebra,environment ambiguity,none,non-identifiability,finite linear environments,THEOREM-LEVEL
Sagawa2020,group-risk theorem,max-group risk,risk vector + simplex,uniform convergence,group weights/coverage,group complexity,unseen-group misspecification,finite groups,THEOREM-LEVEL
Rothenhaeusler2021,Theorems 1-2,robust anchor-shift risk,anchor residual decomposition,primal-dual robustness,anchor-explained shift,linear parameter complexity,shift-family misspecification,linear SCM and observed anchors,THEOREM-LEVEL
Rivasplata2018,Theorem 2,randomized source risk,posterior KL + stability,PAC-Bayes + McDiarmid,none,KL + stability,none beyond stability,Hilbert-valued stable algorithm,THEOREM-LEVEL
Zhao2019,Theorem 1,target risk gap,feature/label distributions,change of measure and conflict construction,label-distribution shift,representation complexity,joint error,conditional label assumptions,THEOREM-LEVEL
Lai2024,Theorems 3.1-3.11,TV OOD conditions,TV risk functional,variational/coarea analysis,environment-family TV,TV functional complexity,regularity/misspecification,measure/coarea conditions,THEOREM-LEVEL
Shui2022,Proposition 1,unseen-domain risk,INV representation + TV contraction,strong data processing + TV triangle,raw-to-target TV contracted by representation,representation complexity,model mismatch,bounded loss/conditional invariance/nearest source,THEOREM-LEVEL
Wang2026TriSpace,Theorems 1-3,target risk,direct-sum latent space,unique decomposition + localized discrepancy,variant-feature and domain discrepancy,weighted hypothesis complexity,oracle/localized misspecification,deterministic invariant labels and restricted latent class,THEOREM-LEVEL
Wang2024Lost,main lower bound,unseen-domain minimax risk,domain-count uncertainty,minimax indistinguishability,domain-count uncertainty,none,unobserved-domain non-identifiability,finite source domains,THEOREM-LEVEL
Liu2024InfoOOD,main bound,source-to-target risk gap,mutual information/change of measure,information-theoretic concentration,shift-dependent information term,mutual information complexity,information radius,stated information/shift model,ABSTRACT-LEVEL
Liu2025InfoSGLD,main bound,SGLD target risk,information + stochastic process,information concentration + SGLD analysis,shift-dependent term,information/noise complexity,optimization/noise remainder,SGLD step-size/noise assumptions,ABSTRACT-LEVEL
Wu2024Multicalibration,main theorem,OOD risk beyond covariate shift,density-ratio function class,calibration + change of measure,conditional shift/calibration residual,function-class complexity,calibration misspecification,coverage and multicalibration,THEOREM-LEVEL
