paper_id,year,setting,target_quantity,representation,proof_key,assumption_cost,method_scope,fidelity,source_only,evidence,priority,verification_level
Vapnik1998,1998,statistical learning,same-distribution risk,class/hypothesis complexity,uniform convergence,distributional sampling assumptions,ERM baseline,NOT-ALGORITHM-SPECIFIC,YES,book citation,MEDIUM,METADATA-ONLY
BenDavid2010,2010,DA,target risk,risk + HDeltaH discrepancy,triangle inequality + VC concentration,unlabeled target and joint-error oracle,discrepancy DA,EXACT,NO,Thm 2,CORE,THEOREM-LEVEL
Mansour2009,2009,DA,target risk,loss-class discrepancy,discrepancy triangle + Rademacher,loss-class and joint-error assumptions,DA algorithms,EXACT,NO,Thm 1-2,CORE,THEOREM-LEVEL
Blanchard2011,2011,source-only DG,unseen-domain risk,meta-distribution over domains,domain-level concentration,source domains represent meta-law,domain-of-domains DG,POPULATION-ABSTRACTION,YES,main theorem,CORE,THEOREM-LEVEL
Blanchard2021,2021,source-only DG,worst/admissible-domain risk,marginal transfer functional,meta-distribution concentration,admissible family and coverage,marginal-transfer DG,POPULATION-ABSTRACTION,YES,main theorem; Sec 3,CORE,THEOREM-LEVEL
Gretton2012,2012,two-sample/IPM,distribution discrepancy,RKHS mean embedding,RKHS duality + concentration,bounded kernel and samples,MMD/IPM,EXACT,CONDITIONAL,Thm 2,MEDIUM,THEOREM-LEVEL
Bousquet2002,2002,same-distribution generalization,source expected risk,uniform stability,replace-one stability + concentration,loss boundedness and algorithm stability,regularized ERM/stable algorithms,EXACT,YES,Thm 12,MEDIUM,THEOREM-LEVEL
Bartlett2017,2017,same-distribution generalization,source risk,margin + spectral/Frobenius norms,symmetrization + contraction,spectral norm and margin constraints,norm-controlled networks,EXACT,YES,Thm 1,MEDIUM,THEOREM-LEVEL
Duchi2021,2021,DRO,uniform/worst-case risk,f-divergence uncertainty set,convex duality + uniform convergence,divergence ball and finite support/complexity,distributionally robust learning,EXACT,YES,Thm 1-2,CORE,THEOREM-LEVEL
Esfahani2018,2018,Wasserstein DRO,robust population risk,Wasserstein ball,transport duality + concentration,metric/radius/support assumptions,Wasserstein DRO,EXACT,YES,Thm 4.2; Sec 3,CORE,THEOREM-LEVEL
Sinha2018,2018,adversarial/DRO,robust risk,Wasserstein adversarial uncertainty,duality + regularization,transport cost and smoothness,principled adversarial training,EQUIVALENT-UNDER-ASSUMPTIONS,YES,main theorem,MEDIUM,THEOREM-LEVEL
Germain2020,2020,DA,target Gibbs risk,posterior KL + domain disagreement,change of measure + PAC-Bayes,prior and target samples,PAC-Bayes DA,SURROGATE,NO,main bound; Sec 3,HIGH,THEOREM-LEVEL
Peters2016,2016,causal invariance,stable intervention risk,invariant conditional mechanism,conditional independence + identifiability,SCM/intervention/faithfulness,ICP,EXACT,YES,Thm 1-2,HIGH,THEOREM-LEVEL
Arjovsky2019,2019,source-only DG,ideal invariant risk,shared optimal classifier constraint,shared population optimality,realizability and population constraint,IRM principle,POPULATION-ABSTRACTION,YES,Eq 2-3; Appendix,CORE,FORMULA-LEVEL
Rosenfeld2021,2021,DG impossibility,minimax/lower-bound risk,linear invariant representation constructions,constructive linear algebra,linear model and environment ambiguity,IRM failure analysis,NOT-ALGORITHM-SPECIFIC,YES,main lower bound,HIGH,THEOREM-LEVEL
Kamath2021,2021,IRM theory,identifiability/consistency of invariance,gradient/invariance conditions,structural algebra + rank conditions,linear structural assumptions and finite environments,IRM-like models,CONDITIONAL,YES,Thm 1-3,CORE,THEOREM-LEVEL
Krueger2021,2021,source-only DG,extrapolated risk,risk vector and environment variance,algebraic risk extrapolation,linear/toy extrapolation assumptions,V-REx,RELAXATION,YES,Thm 1-2,MEDIUM,THEOREM-LEVEL
Rame2022,2022,source-only DG,OOD risk gap,per-example gradient covariance,gradient-statistic matching,derivative concentration and causal motivation,Fishr-like objectives,MOTIVATIONAL-ONLY,YES,Sec 3; no general bound,HIGH,ABSTRACT-LEVEL
Sun2016,2016,DA,feature alignment objective,feature covariance,second-moment algebra + concentration,bounded features and target data,CORAL,SURROGATE,NO,Sec 3,MEDIUM,FORMULA-LEVEL
Ganin2016,2016,DA,target/source discrepancy,domain discriminator,classifier duality and H-divergence,target data and discriminator class,DANN,SURROGATE,NO,Thm 1; Sec 2,MEDIUM,THEOREM-LEVEL
Li2018,2018,source-only DG,meta-test loss/update performance,bilevel update map,Taylor/linear approximation,small-step or linear/convex models,MLDG,SURROGATE,YES,Eq 2-3,MEDIUM,FORMULA-LEVEL
Sagawa2020,2020,finite-group DG,max-group risk,risk vector + simplex weights,uniform convergence and group concentration,finite groups/coverage,GroupDRO,EXACT,YES,Sec 3-4,CORE,THEOREM-LEVEL
Rothenhaeusler2021,2021,causal shift,robust shift-family risk,anchor residual decomposition,primal-dual robustness under anchor shifts,linear SCM and anchor observability,anchor regression,EXACT,YES,Thm 1-2,HIGH,THEOREM-LEVEL
Miyato2018,2018,same-distribution capacity,source generalization,spectral norm/Lipschitz control,operator norm bound,network norm constraints,spectral normalization,EXACT,YES,Sec 3,MEDIUM,FORMULA-LEVEL
Rivasplata2018,2018,stable PAC-Bayes,randomized source risk,posterior KL + stability,PAC-Bayes change of measure + McDiarmid,stable Hilbert-valued algorithm,stable randomized predictors,EXACT,YES,Thm 2; Thm 4,MEDIUM,THEOREM-LEVEL
Zhao2019,2019,DA/impossibility,target risk gap,joint error and label/feature distributions,change of measure + conflict construction,representation-label conflict assumptions,feature alignment methods,NOT-ALGORITHM-SPECIFIC,NO,Thm 1,CORE,THEOREM-LEVEL
Gulrajani2021,2021,DG benchmark/impossibility,unseen-domain performance,algorithm comparison and domain shift,empirical comparison + no-free-lunch discussion,finite source domains and arbitrary shifts,standard DG methods,MOTIVATIONAL-ONLY,YES,Sec 2-3,MEDIUM,ABSTRACT-LEVEL
Lai2024,2024,source-only DG,TV functional/OOD conditions,TV variation in classifier variable,variational/coarea analysis,coarea/regularity and admissible environments,IRM-TV translation,FUNCTIONAL-TRANSLATION,YES,Thm 3.1-3.11,CORE,THEOREM-LEVEL
Wang2024Lost,2024,DG lower bound,unseen-domain minimax risk,domain-count uncertainty,minimax indistinguishability,unobserved-domain ambiguity,domain-count analysis,NOT-ALGORITHM-SPECIFIC,YES,main theorem,HIGH,THEOREM-LEVEL
Cao2024Mixup,2024,DG with augmentation,PAC-Bayes target risk,posterior + mixup-induced domain,PAC-Bayes + concentration,augmentation family and posterior assumptions,Mixup DG,SURROGATE,YES,main theorem,HIGH,THEOREM-LEVEL
Shui2022,2022,source-only DG,unseen-domain risk,INV representation + TV contraction,strong data processing and conditional invariance,bounded loss and nearest-source family,representation invariance,POPULATION-ABSTRACTION,YES,Prop 1; Eq 1,CORE,THEOREM-LEVEL
WangVeitch2022,2022,causal DG,stable predictor under shifts,SCM and causal shift family,d-separation/intervention reasoning,valid SCM and interventions,causal invariance,EXACT,YES,abstract; Sec 3,HIGH,ABSTRACT-LEVEL
