admission_reason,admission_role,admitted_to_pi_full,admitted_to_training_panel,algorithm_reference_id,algorithm_variant_id,candidate_method,method,runnable_in_common_harness
OK,NEGATIVE_CONTROL,True,True,CPU_MINIMAL_CANONICAL,ERM_CANONICAL,True,ERM,True
OK,POSITIVE_CONTROL,True,True,CPU_MINIMAL_CANONICAL,IRMv1_CANONICAL,True,IRMv1,True
OK,INTERMEDIATE,True,True,REx_OFFICIAL_COLOREDMNIST_SCALE,VREX_LAMBDA10000_ANNEAL100_RESCALE,True,VREX,True
OK,NEGATIVE_CONTROL,True,True,DOMAINBED_CORAL_FORMULA,CORAL_GAMMA1_SOURCE_ONLY,True,CORAL,True
OK,INTERMEDIATE,True,True,FISHR_COLOREDMNIST_CLASSIFIER_BATCH_GRAD,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100,True,FISHR,True
OK,INTERMEDIATE,True,True,MLDG_FIRST_ORDER_SOURCE_ENV_META_SPLIT,MLDG_BETA1_INNERLR0P001_ONE_STEP,True,MLDG,True
OK,SPECTRAL_GEOMETRY,True,True,YOSHIDA_MIYATO_2017_SPECTRAL_NORM_REGULARIZATION,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS,True,SPECTRAL_NORM_REG,True
OK,SPECTRAL_GEOMETRY,True,True,LEWANDOWSKI_2024_LEARNING_CONTINUALLY_BY_SPECTRAL_REGULARIZATION,SR2024_LAMBDA0P001_K2_ALL_LINEAR,True,SPECTRAL_REG_2024,True
OK,SPECTRAL_GEOMETRY,True,True,ORTHOGONAL_DEEP_NEURAL_NETWORKS_SVB,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP,True,SVB_ORTHDNN,True
OK,SPECTRAL_GEOMETRY,True,True,STABLE_RANK_NORMALIZATION_ICLR2020,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,True,STABLE_RANK_NORM,True
SVD_SPARSE_DEFERRED_TRUE_FACTORISED_PARAMETERIZATION_WOULD_CHANGE_MODEL_COMPARABILITY,FIDELITY_UNRESOLVED,False,False,LOW_RANK_DNN_SVD_ORTHOGONALITY_AND_SINGULAR_VALUE_SPARSIFICATION,SVD_SPARSE_DEFERRED_COMMON_MODEL_COMPARABILITY,True,SVD_SPARSE,False
OK,FLATNESS_GEOMETRY,True,True,FORET_2020_SHARPNESS_AWARE_MINIMIZATION,SAM_RHO0P05_COMMON_ADAM,True,SAM,True
OK,FLATNESS_GEOMETRY,True,True,KWON_2021_ADAPTIVE_SHARPNESS_AWARE_MINIMIZATION,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,True,ASAM,True
FAD_REFERENCE_UNRESOLVED_EXACT_ZERO_AND_FIRST_ORDER_UPDATE_NOT_IMPLEMENTED,FIDELITY_UNRESOLVED,False,False,ZHANG_2023_FLATNESS_AWARE_MINIMIZATION_FOR_DOMAIN_GENERALIZATION,FAD_DEFERRED_NO_GUESSED_SAM_SURROGATE,True,FAD,False
DISAM_REFERENCE_UNRESOLVED_DOMAIN_IMBALANCE_CALIBRATION_NOT_IMPLEMENTED,FIDELITY_UNRESOLVED,False,False,MEDIABRAIN_SJTU_DISAM_DOMAIN_INSPIRED_SAM,DISAM_DEFERRED_NO_SAM_PLUS_VREX_SURROGATE,True,DISAM,False
