benchmark,delta_target_risk_vs_erm,family_config,finite_set_worst_case_risk,invalid_target_reason,lambda,method,radius_regime,seed,target_accuracy,target_correlation,target_direction,target_group,target_id,target_outcome_generation,target_radius,target_rank,target_sign,target_squared_loss_risk,training_run_id,win_loss_vs_erm
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_relation,S1_relation,hidden_u_hurts:local:S1_relation:-1,legal_gaussian_environment_family,0.25,4,-1,0.26577456463165083,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_relation,S1_relation,hidden_u_hurts:local:S1_relation:+1,legal_gaussian_environment_family,0.25,6,1,0.24582402336047782,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_relation,S2_relation,hidden_u_hurts:local:S2_relation:-1,legal_gaussian_environment_family,0.25,4,-1,0.26165743746172,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_relation,S2_relation,hidden_u_hurts:local:S2_relation:+1,legal_gaussian_environment_family,0.25,6,1,0.24946533000696924,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_mean,S1_mean,hidden_u_hurts:local:S1_mean:-1,legal_gaussian_environment_family,0.25,9,-1,0.2565824725308836,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_mean,S1_mean,hidden_u_hurts:local:S1_mean:+1,legal_gaussian_environment_family,0.25,7,1,0.2565824725308836,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_mean,S2_mean,hidden_u_hurts:local:S2_mean:-1,legal_gaussian_environment_family,0.25,3,-1,0.2558538723543675,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_mean,S2_mean,hidden_u_hurts:local:S2_mean:+1,legal_gaussian_environment_family,0.25,1,1,0.2558538723543675,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_variance,S1_variance,hidden_u_hurts:local:S1_variance:-1,legal_gaussian_environment_family,0.25,1,-1,0.2440278832909022,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S1_variance,S1_variance,hidden_u_hurts:local:S1_variance:+1,legal_gaussian_environment_family,0.25,10,1,0.2668112588492806,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_variance,S2_variance,hidden_u_hurts:local:S2_variance:-1,legal_gaussian_environment_family,0.25,1,-1,0.2511651911424876,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,S2_variance,S2_variance,hidden_u_hurts:local:S2_variance:+1,legal_gaussian_environment_family,0.25,6,1,0.2596739509976951,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,N1_variance,N1_variance,hidden_u_hurts:local:N1_variance:-1,legal_gaussian_environment_family,0.25,1,-1,0.2554195710700914,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,N1_variance,N1_variance,hidden_u_hurts:local:N1_variance:+1,legal_gaussian_environment_family,0.25,1,1,0.2554195710700914,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,U_emergent,U_emergent,hidden_u_hurts:local:U_emergent:-1,legal_gaussian_environment_family,0.25,1,-1,0.2554195710700914,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,local,population,nan,,U_emergent,U_emergent,hidden_u_hurts:local:U_emergent:+1,legal_gaussian_environment_family,0.25,1,1,0.2554195710700914,gaussian|hidden_u_hurts|L2|0|population,False
gaussian,0.0,hidden_u_hurts,0.3013962204280052,,0.0,L2,medium,population,nan,,S1_relation,S1_relation,hidden_u_hurts:medium:S1_relation:-1,legal_gaussian_environment_family,0.5,4,-1,0.27688900404515626,gaussian|hidden_u_hurts|L2|0|population,False
