K,array_key,bank,basis_index,method,response_norm,seed,semantic_direction
1,ERM__10__u000__K1__source,source,0,ERM,13.37802505493164,10,source_env0_color
1,ERM__10__u000__K1__counterfactual_red,counterfactual_red,0,ERM,13.293103218078613,10,source_env0_color
1,ERM__10__u000__K1__counterfactual_green,counterfactual_green,0,ERM,13.679742813110352,10,source_env0_color
1,ERM__10__u000__K1__clean_task,clean_task,0,ERM,1.0384325981140137,10,source_env0_color
5,ERM__10__u000__K5__source,source,0,ERM,120.32699584960938,10,source_env0_color
5,ERM__10__u000__K5__counterfactual_red,counterfactual_red,0,ERM,130.37815856933594,10,source_env0_color
5,ERM__10__u000__K5__counterfactual_green,counterfactual_green,0,ERM,110.56161499023438,10,source_env0_color
5,ERM__10__u000__K5__clean_task,clean_task,0,ERM,19.203725814819336,10,source_env0_color
20,ERM__10__u000__K20__source,source,0,ERM,110.41726684570312,10,source_env0_color
20,ERM__10__u000__K20__counterfactual_red,counterfactual_red,0,ERM,132.22467041015625,10,source_env0_color
20,ERM__10__u000__K20__counterfactual_green,counterfactual_green,0,ERM,87.01592254638672,10,source_env0_color
20,ERM__10__u000__K20__clean_task,clean_task,0,ERM,23.374814987182617,10,source_env0_color
1,ERM__10__u001__K1__source,source,1,ERM,13.260421752929688,10,source_env1_color
1,ERM__10__u001__K1__counterfactual_red,counterfactual_red,1,ERM,13.892265319824219,10,source_env1_color
1,ERM__10__u001__K1__counterfactual_green,counterfactual_green,1,ERM,12.908442497253418,10,source_env1_color
1,ERM__10__u001__K1__clean_task,clean_task,1,ERM,1.7587318420410156,10,source_env1_color
5,ERM__10__u001__K5__source,source,1,ERM,119.9331283569336,10,source_env1_color
5,ERM__10__u001__K5__counterfactual_red,counterfactual_red,1,ERM,129.17274475097656,10,source_env1_color
5,ERM__10__u001__K5__counterfactual_green,counterfactual_green,1,ERM,111.07176208496094,10,source_env1_color
5,ERM__10__u001__K5__clean_task,clean_task,1,ERM,18.960933685302734,10,source_env1_color
20,ERM__10__u001__K20__source,source,1,ERM,109.54381561279297,10,source_env1_color
20,ERM__10__u001__K20__counterfactual_red,counterfactual_red,1,ERM,131.6741943359375,10,source_env1_color
20,ERM__10__u001__K20__counterfactual_green,counterfactual_green,1,ERM,86.28057098388672,10,source_env1_color
20,ERM__10__u001__K20__clean_task,clean_task,1,ERM,22.834272384643555,10,source_env1_color
1,ERM__10__u002__K1__source,source,2,ERM,0.0,10,evaluation_color
1,ERM__10__u002__K1__counterfactual_red,counterfactual_red,2,ERM,0.0,10,evaluation_color
1,ERM__10__u002__K1__counterfactual_green,counterfactual_green,2,ERM,0.0,10,evaluation_color
1,ERM__10__u002__K1__clean_task,clean_task,2,ERM,0.0,10,evaluation_color
5,ERM__10__u002__K5__source,source,2,ERM,0.0,10,evaluation_color
5,ERM__10__u002__K5__counterfactual_red,counterfactual_red,2,ERM,0.0,10,evaluation_color
5,ERM__10__u002__K5__counterfactual_green,counterfactual_green,2,ERM,0.0,10,evaluation_color
5,ERM__10__u002__K5__clean_task,clean_task,2,ERM,0.0,10,evaluation_color
20,ERM__10__u002__K20__source,source,2,ERM,0.0,10,evaluation_color
20,ERM__10__u002__K20__counterfactual_red,counterfactual_red,2,ERM,0.0,10,evaluation_color
20,ERM__10__u002__K20__counterfactual_green,counterfactual_green,2,ERM,0.0,10,evaluation_color
20,ERM__10__u002__K20__clean_task,clean_task,2,ERM,0.0,10,evaluation_color
1,ERM__10__u003__K1__source,source,3,ERM,3.3838839530944824,10,source_label_noise
1,ERM__10__u003__K1__counterfactual_red,counterfactual_red,3,ERM,3.307384490966797,10,source_label_noise
1,ERM__10__u003__K1__counterfactual_green,counterfactual_green,3,ERM,5.404952049255371,10,source_label_noise
1,ERM__10__u003__K1__clean_task,clean_task,3,ERM,1.4494361877441406,10,source_label_noise
5,ERM__10__u003__K5__source,source,3,ERM,25.77175521850586,10,source_label_noise
5,ERM__10__u003__K5__counterfactual_red,counterfactual_red,3,ERM,43.65673828125,10,source_label_noise
5,ERM__10__u003__K5__counterfactual_green,counterfactual_green,3,ERM,36.766971588134766,10,source_label_noise
5,ERM__10__u003__K5__clean_task,clean_task,3,ERM,15.763236045837402,10,source_label_noise
20,ERM__10__u003__K20__source,source,3,ERM,79.86833190917969,10,source_label_noise
20,ERM__10__u003__K20__counterfactual_red,counterfactual_red,3,ERM,100.15760803222656,10,source_label_noise
20,ERM__10__u003__K20__counterfactual_green,counterfactual_green,3,ERM,89.02876281738281,10,source_label_noise
20,ERM__10__u003__K20__clean_task,clean_task,3,ERM,78.20361328125,10,source_label_noise
1,ERM__10__u004__K1__source,source,4,ERM,0.0,10,evaluation_label_noise
1,ERM__10__u004__K1__counterfactual_red,counterfactual_red,4,ERM,0.0,10,evaluation_label_noise
1,ERM__10__u004__K1__counterfactual_green,counterfactual_green,4,ERM,0.0,10,evaluation_label_noise
1,ERM__10__u004__K1__clean_task,clean_task,4,ERM,0.0,10,evaluation_label_noise
5,ERM__10__u004__K5__source,source,4,ERM,0.0,10,evaluation_label_noise
5,ERM__10__u004__K5__counterfactual_red,counterfactual_red,4,ERM,0.0,10,evaluation_label_noise
5,ERM__10__u004__K5__counterfactual_green,counterfactual_green,4,ERM,0.0,10,evaluation_label_noise
5,ERM__10__u004__K5__clean_task,clean_task,4,ERM,0.0,10,evaluation_label_noise
20,ERM__10__u004__K20__source,source,4,ERM,0.0,10,evaluation_label_noise
20,ERM__10__u004__K20__counterfactual_red,counterfactual_red,4,ERM,0.0,10,evaluation_label_noise
20,ERM__10__u004__K20__counterfactual_green,counterfactual_green,4,ERM,0.0,10,evaluation_label_noise
20,ERM__10__u004__K20__clean_task,clean_task,4,ERM,0.0,10,evaluation_label_noise
1,ERM__10__u005__K1__source,source,-1,ERM,18.83005714416504,10,source_color_common
1,ERM__10__u005__K1__counterfactual_red,counterfactual_red,-1,ERM,19.22101593017578,10,source_color_common
1,ERM__10__u005__K1__counterfactual_green,counterfactual_green,-1,ERM,18.799585342407227,10,source_color_common
