representation,representative_papers,target_quantities,proof_capability,methods_captured,methods_excluded,assumption_cost,source_only_status
risk-vector / environment risks,Krueger2021; Sagawa2020; Blanchard2021,extrapolated or max-group risk,environment concentration and convex weighting,ERM; V-REx; GroupDRO,gradients; conditional mechanisms; arbitrary unseen domains,finite groups or meta-domain coverage,YES conditional on domain law
loss discrepancy / HDeltaH,BenDavid2010; Mansour2009,target risk plus joint error,triangle inequality and VC/Rademacher,DA discrepancy classifiers,source-only without target samples,unlabeled target and oracle joint error,NO for classic DA
RKHS/IPM,Gretton2012; Sun2016; Zhao2019,distribution gap or target risk,duality and Hilbert concentration,MMD; CORAL; kernel alignment,optimizer statistics; conditional guarantees without extra assumptions,bounded kernels/features and joint error,CONDITIONAL
domain discriminator,Ganin2016,target/source discrepancy,classification dual to H-divergence,DANN and adversarial alignment,MMD is not identical; no source-only target theorem,target data and discriminator class,NO in DA
causal conditional / SCM,Peters2016; Rothenhaeusler2021; WangVeitch2022,intervention-robust risk,conditional independence; d-separation; primal-dual shift,ICP; anchor; causal invariant representations,arbitrary alignment; Fishr; optimizer dynamics,SCM/intervention/coverage,YES under causal family
DRO uncertainty set,Esfahani2018; Sinha2018; Duchi2021; Sagawa2020,robust worst-case risk,convex/transport duality and robust uniform convergence,Wasserstein; f-divergence; group DRO,methods without defensible U,metric/radius/support correctness,YES conditional on U
posterior / PAC-Bayes,Germain2020; Rivasplata2018; Cao2024Mixup,Gibbs or randomized target risk,change of measure and KL variational inequality,PAC-Bayes transfer; stable learners; Mixup,exact deterministic deep objectives; arbitrary shift without prior/model,prior/posterior and target-disagreement terms,CONDITIONAL
information complexity,Liu2024InfoOOD; Liu2025InfoSGLD,OOD risk gap,information density and stochastic-process concentration,stochastic learners; SGLD,exact invariance or latent decomposition,information-radius/shift/noise assumptions,YES conditional on information model
stability / norm complexity,Bousquet2002; Bartlett2017; Miyato2018; Rivasplata2018,same-distribution source risk,replace-one stability; contraction; norm bounds,stable ERM; spectral/margin control,domain shift semantics,loss boundedness and norm constraints,YES for source only
IRM invariant optimum,Arjovsky2019; Kamath2021,ideal invariant risk/identifiability,shared optimum and structural identifiability,ideal IRM and restricted linear models,exact deep IRMv1 finite-sample dynamics,population constraint/realizability,YES
INV + TV contraction,Shui2022,unseen-domain risk,TV triangle + strong data processing,representation invariance slots,gradient variance; arbitrary causal mechanisms,bounded loss and nearest-source family,YES
TV functional translation,Lai2024,OOD conditions/minimax TV,variational/coarea analysis,IRM gradient-to-TV translation,GroupDRO; Fishr; generic DRO,regularity and coarea; no SGD analysis,YES
direct-sum latent decomposition,Wang2026TriSpace,target risk with invariant/diversity terms,unique decomposition + localized discrepancy,domain-invariant representation and augmentation,gradient statistics; generic DRO; unencoded SCM,deterministic invariant labels and restricted latent class,YES
lower-bound / calibration representation,Rosenfeld2021; Wang2024Lost; Wu2024Multicalibration,minimax lower bounds or calibrated OOD risk,indistinguishability/minimax/change of measure,impossibility tests; density-ratio calibration,not an upper-bound unifier,finite domains or calibration coverage,YES
