seed,method,checkpoint_path,checkpoint_sha256,checkpoint_sha256_verified,parameter_hash,config_sha256,config_sha256_verified,git_commit,final_source_env0_acc,final_source_env1_acc,final_source_mean_acc,final_target_acc,final_prediction_color_agreement
10,ERM,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_10_ERM.pt,a864f25cf3bbb9d829cf437dc13b469d5e22b16b7b51dd0fdd84a5cc15bc5cfb,True,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.8026000261306763,0.8975600004196167,0.8500800132751465,0.10639999806880951,0.9955999851226807
10,IRMv1,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_10_IRMv1.pt,d381b6725db4cbd157cccbced992113acf09a6511e408a8184bbb8a4bd7cdf91,True,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.6144000291824341,0.6080800294876099,0.611240029335022,0.6539999842643738,0.37279999256134033
11,ERM,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_11_ERM.pt,829da338656b54fb127fa5ebb34a3817781603ba5fee8dc228e0a9db66f7b0db,True,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.7982800006866455,0.9003599882125854,0.8493199944496155,0.10899999737739563,0.9912999868392944
11,IRMv1,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_11_IRMv1.pt,bb1609a3d27e7f8610e002a7c66bc3bf59a101b820b30e8f0a0b5319c22f22ed,True,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.6255599856376648,0.6194400191307068,0.6225000023841858,0.663100004196167,0.36340001225471497
12,ERM,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_12_ERM.pt,ffeb90d82729a47c498f9b553c669ac011ddcc8ae82533e08e5f8839746e6892,True,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.7993999719619751,0.9010000228881836,0.8501999974250793,0.10429999977350235,0.991599977016449
12,IRMv1,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_12_IRMv1.pt,537f0fa8ee12b0c709a5880a35182cd03d240fb9d526ea6be37bf12b15ae4d36,True,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.5912799835205078,0.5825200080871582,0.586899995803833,0.6725000143051147,0.34060001373291016
13,ERM,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_13_ERM.pt,9939fcc894d7e1c20eb5c65f9678941c2cad45332098cf855c137f85f9171c98,True,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.7990400195121765,0.9005200266838074,0.8497800230979919,0.11620000004768372,0.9876999855041504
13,IRMv1,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_13_IRMv1.pt,78ac812ee414e3b78ab6152369d876f56ba32505525e045d10e8d649215ced1b,True,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.5793600082397461,0.5669599771499634,0.5731599926948547,0.6894000172615051,0.3149000108242035
14,ERM,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_14_ERM.pt,b612285a0016a6186bceb90f4dd96648684f496b075ab8ea9d97f7636dd42759,True,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.7990400195121765,0.8997200131416321,0.8493800163269043,0.11309999972581863,0.9904000163078308
14,IRMv1,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_14_IRMv1.pt,beb03573ac0346175be965e3beb0ed7ae1d3ce66572f2657c535dd377f18013f,True,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,True,50d435b403bbda00427b9cce38258066eacc40db,0.6093599796295166,0.5990399718284607,0.6041999757289886,0.666700005531311,0.35179999470710754
