method,seed,checkpoint,contrast,status,reason,derived_validity_filter
IRMv1,10,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
IRMv1,11,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
IRMv1,12,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
IRMv1,13,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
IRMv1,14,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
VREX,10,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
VREX,11,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
VREX,12,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
VREX,13,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
VREX,14,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
FISHR,10,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
FISHR,11,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
FISHR,12,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
FISHR,13,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
FISHR,14,300,delta_C/delta_K/delta_interaction,NOT_COMPUTABLE_VECTOR_MISSING,frozen C/K factorial artifact stores bank norms but not full functional response vectors; no cosine or Gram projection is inferred from norms,required
